,date,timestamp,event_auction_id,event_type,event_exchange,event_app_or_site,event_app_site_name,event_city,event_country,event_has_gps,event_creative_size,event_device_type,event_device_language,event_os,event_os_version,event_connection_type,event_device_model,event_device_make,event_has_ifa,win_price,win_price_loc,event_ias_cpm,longitude,latitude,event_hash_ifa,event_hash_ip,event_media_type,event_bidder_name,event_site_or_app_categories,event_zip_code,event_imp_multiplier,advertiser_id,creative_type,creative_size,line_id,schedule_start,schedule_end,line_updated_at,mediaplan_daily_budget,mediaplan_id,mediaplan_currency,deal_cpm,event_hash_geo_name,hash_deal_identifier,event_hash_branding_to_store
15429,2019-08-21,2019-08-21 21:22:18.107 UTC,3408cd1f-b45e-4f23-8b5f-8ca88183f9fc,click,mopub,app,Appbox_A,Dubai,ARE,False,,1,,Android,,,Samsung Galaxy J7 Prime,Samsung,False,0.0,0.0,,,,4.896215499418806e+18,6.409837250736163e+18,,,,,,d794b490-b90b-4d07-b75a-7f0423324059,banner,300*250,5f7c6342-9585-4cc1-a173-e04979af74b9,2019-05-31 21:00:00 UTC,2019-09-30 20:59:59 UTC,2019-06-09 13:46:27.192 UTC,,cbb60084-2c33-4171-a4c0-5dfb751ee9ca,USD,,,,
15430,2019-08-21,2019-08-21 21:22:16.588 UTC,3408cd1f-b45e-4f23-8b5f-8ca88183f9fc,click,mopub,app,Appbox_A,Dubai,ARE,False,,1,,Android,,,Samsung Galaxy J7 Prime,Samsung,False,0.0,0.0,,,,4.896215499418806e+18,6.409837250736163e+18,,,,,,d794b490-b90b-4d07-b75a-7f0423324059,banner,300*250,5f7c6342-9585-4cc1-a173-e04979af74b9,2019-05-31 21:00:00 UTC,2019-09-30 20:59:59 UTC,2019-06-09 13:46:27.192 UTC,,cbb60084-2c33-4171-a4c0-5dfb751ee9ca,USD,,,,
15518,2019-08-15,2019-08-15 02:17:55.777 UTC,3409_1565835463960062-165_1,click,stickyads,site,howtodofor.com,,ITA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-3.7123980809332337e+18,,,,,,d34351bd-1943-43b8-b6e8-b291e0d6938b,vast,,c8fd5fdc-c206-458e-abab-e081c6140519,2019-08-03 21:00:00 UTC,2019-08-31 20:59:59 UTC,2019-08-07 08:08:13.834 UTC,,011d0170-5a80-43ae-897a-d8e4c0c479a0,USD,,,,
15521,2019-08-15,2019-08-15 02:17:48.215 UTC,3409_1565835463960062-165_1,click,stickyads,site,howtodofor.com,,ITA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-3.7123980809332337e+18,,,,,,d34351bd-1943-43b8-b6e8-b291e0d6938b,vast,,c8fd5fdc-c206-458e-abab-e081c6140519,2019-08-03 21:00:00 UTC,2019-08-31 20:59:59 UTC,2019-08-07 08:08:13.834 UTC,,011d0170-5a80-43ae-897a-d8e4c0c479a0,USD,,,,
15523,2019-08-15,2019-08-15 02:17:55.831 UTC,3409_1565835463960062-165_1,click,stickyads,site,howtodofor.com,,ITA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-3.7123980809332337e+18,,,,,,d34351bd-1943-43b8-b6e8-b291e0d6938b,vast,,c8fd5fdc-c206-458e-abab-e081c6140519,2019-08-03 21:00:00 UTC,2019-08-31 20:59:59 UTC,2019-08-07 08:08:13.834 UTC,,011d0170-5a80-43ae-897a-d8e4c0c479a0,USD,,,,
15928,2019-08-15,2019-08-15 05:14:43.603 UTC,3409_1565846054119073-19_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-2.4117567919332654e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,2f8925a5-3071-4439-a75a-b4ec513973f8,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.648 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
17140,2019-08-15,2019-08-15 08:26:30.829 UTC,3409_1565857579148047-107_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-3.900796004776925e+17,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,2f8925a5-3071-4439-a75a-b4ec513973f8,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.648 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
17187,2019-08-15,2019-08-15 08:29:40.029 UTC,3409_1565857759790048-159_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,5.50684728126828e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,2f8925a5-3071-4439-a75a-b4ec513973f8,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.648 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
17541,2019-08-15,2019-08-15 09:16:28.117 UTC,3409_1565860564571029-126_1,click,stickyads,site,urbanpost.it,,ITA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,1.027279953004789e+18,,,,,,d34351bd-1943-43b8-b6e8-b291e0d6938b,vast,,50a37edc-59a7-411b-9d80-f48c80438815,2019-08-03 21:00:00 UTC,2019-08-22 20:59:59 UTC,2019-08-07 08:09:09.412 UTC,,011d0170-5a80-43ae-897a-d8e4c0c479a0,USD,,,,
17684,2019-08-15,2019-08-15 09:34:27.595 UTC,3409_1565861660820025-7_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-4.687451988262148e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,2f8925a5-3071-4439-a75a-b4ec513973f8,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.648 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
17774,2019-08-15,2019-08-15 09:40:23.306 UTC,3409_1565862004487019-151_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-8.441280096459011e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,24e91e93-27f6-4b64-ae20-49fd5c9482ef,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.684 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
18312,2019-08-15,2019-08-15 10:45:06.582 UTC,3409_1565865883671001-114_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-6.34910705183096e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,24e91e93-27f6-4b64-ae20-49fd5c9482ef,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.684 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
19660,2019-08-15,2019-08-15 13:39:30.056 UTC,3409_1565876354104086-1_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,-5.717851691075556e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,24e91e93-27f6-4b64-ae20-49fd5c9482ef,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.684 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
19790,2019-08-15,2019-08-15 13:50:22.451 UTC,3409_1565877009361096-155_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,6.112153355943415e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,2f8925a5-3071-4439-a75a-b4ec513973f8,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.648 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
20306,2019-08-15,2019-08-15 14:50:37.588 UTC,3409_1565880609042086-130_1,click,stickyads,site,ohmymag.com,,FRA,False,,4,,Android,,,unknown,unknown,False,0.0,0.0,,,,,2.614927707760407e+18,,,,,,79bdd1f0-c5e3-4268-b831-2538507946bc,vast,,24e91e93-27f6-4b64-ae20-49fd5c9482ef,2019-07-18 22:00:00 UTC,2019-08-31 21:59:59 UTC,2019-08-12 09:24:05.684 UTC,,d0884e3e-75b0-4f9a-b87f-d2a3f95336af,USD,,,,
